3,3
7,4
11,3
14,6
18,7
22,9
25,12
24,16
26,20
30,22
28,26
34,22
27,30
37,25
39,29
43,28
47,26
50,29
54,30
56,34
25,34
58,38
60,42
64,40
68,42
67,46
70,49
74,51
77,54
77,58
80,61
84,60
77,65
76,69
72,72
67,74
79,72
82,75
84,79
88,79
90,83
94,85
63,77
98,87
102,85
104,89
107,92
111,90
86,55
115,89
117,93
59,80
58,84
119,87
117,97
58,75
123,85
103,95
127,86
120,100
131,86
100,99
135,84
53,73
135,87
121,104
139,82
143,84
95,100
124,107
126,111
54,34
90,53
147,86
126,115
151,86
122,118
154,82
55,39
123,122
66,45
125,126
53,84
158,79
125,130
129,132
162,79
166,80
132,135
169,76
173,78
177,76
133,139
131,143
130,147
21,30
181,76
182,71
182,80
186,68
127,151
130,154
128,158
131,161
189,64
186,59
48,85
128,162
49,69
97,104
95,108
127,166
121,126
109,85
190,56
133,165
137,166
90,106
127,170
193,52
90,110
128,170
86,106
186,79
190,81
125,135
129,174
187,54
126,178
17,26
90,114
124,182
141,167
145,169
187,49
122,186
149,171
152,174
85,112
120,190
119,194
195,47
191,85
152,178
197,42
85,51
195,86
201,39
150,182
114,196
154,184
66,37
157,187
44,81
48,64
205,38
98,97
161,75
209,38
39,82
47,89
151,86
112,200
161,188
198,82
147,186
107,201
165,188
160,192
44,21
139,89
213,36
104,205
191,59
167,192
99,205
105,209
128,173
94,207
202,80
34,82
205,36
166,196
89,205
169,199
86,110
155,85
92,211
115,84
173,201
44,60
93,215
23,29
176,204
118,114
92,219
108,212
94,95
89,223
90,109
89,227
188,44
118,86
159,86
177,208
215,31
183,43
81,108
180,205
216,26
205,83
195,42
220,25
171,205
178,212
84,204
182,213
3,0
89,231
152,167
215,31
85,234
209,81
183,217
79,201
91,235
223,21
85,54
186,220
190,218
119,179
194,219
87,238
119,174
21,30
47,93
213,81
146,175
196,223
114,176
187,224
199,226
74,199
223,21
39,60
30,85
190,227
224,16
42,95
61,37
86,242
198,82
204,31
189,89
61,34
95,99
70,202
185,76
182,209
190,231
80,109
190,77
164,200
152,162
109,176
140,77
132,139
203,228
181,200
82,245
162,70
111,180
78,248
226,17
66,205
185,38
62,208
19,25
209,85
203,232
124,154
206,235
207,225
185,233
35,56
211,227
213,31
121,138
215,229
25,82
77,252
211,224
37,92
174,208
184,196
57,208
162,82
20,81
42,56
230,16
53,211
233,12
215,233
58,29
20,36
94,53
98,51
108,180
207,33
75,204
189,234
80,109
197,49
53,27
47,89
77,256
186,33
234,16
70,202
76,260
43,16
208,31
181,30
129,165
85,226
210,236
71,261
